nomeDoProduto,preco,marca,memoriaRam,processador,tipoDeGabinete,imagem,promocao
Lenovo IdeaCentre 5 14IAB7 90T30083UK,£399.99,Lenovo,8 GB,Intel Core i3,Tower,-,18.36 %
Lenovo IdeaCentre AIO 3 24IAP7 F0GH008SUK,£499.99,Lenovo,4 GB,Intel Pentium Gold,All-in-one,-,-
Intel NUC NUC10i5FNHN (Black),£372.43,Intel,-,Intel Core i5,Barebone,-,-
ASUS Vivo AiO V222GAK-BA313T,£427.18,ASUS,4 GB,Intel Celeron,All-in-one,-,-
Dell OptiPlex 3000 Thin Client,£209.00,Dell,4 GB,Intel Celeron,Compact,-,27.68 %
Dell OptiPlex 7010 i5-13500T MFF,£527.65,Dell,16 GB,Intel Core i5,Compact,-,-
Dell OptiPlex 3000 Thin Client,£299.00,Dell,8 GB,Intel Core i5,-,-,-
Lenovo ThinkCentre M60e 11LV005JUK,£424.80,Lenovo,8 GB,Intel Core i5,Compact,-,0.84 %
Dell Precision 3660 (K20HJ),£849.99,Dell,16 GB,Intel Core i7,Tower,-,5.56 %
Dell Precision 3660 (FMWYY),"£1,039.99",Dell,16 GB,Intel Core i7,Tower,-,5.37 %
Lenovo ThinkEdge SE30 11NA000DUK,"£1,459.91",Lenovo,16 GB,Intel Core i5,Compact,-,-
Dell Vostro 3710 (RPW4P),£445.85,Dell,8 GB,Intel Core i3,Compact,-,-
Lenovo ThinkCentre M80s Gen 3 11TL0006UK,£809.00,Lenovo,16 GB,Intel Core i7,Compact,-,-
Dell Precision 5820 (9R6W0),"£1,264.74",Dell,16 GB,Intel Xeon W,Tower,-,-
Intel NUC 13 Extreme Kit NUC13RNGi9,"£1,537.99",Intel,-,Intel Core i9,Barebone,-,-
-,"£1,571.68",Dell,16 GB,Intel Core i5,Compact,-,-
HP 24-cb0025na,£429.00,HP,4 GB,Intel Pentium,All-in-one,"https://www.pricerunner.com/product/40x40/3006601095/HP-24-cb0025na.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3006601095/HP-24-cb0025na.jpg?ph=true&fmt=avif 2x",35.00 %
