nomeDoProduto,preco,marca,memoriaRam,processador,tipoDeGabinete,imagem,promocao
"Zebra ET51 21.3 8.4""",£784.38,Zebra,-,-,-,"https://www.pricerunner.com/product/40x40/3007648447/Zebra-ET51-21.3-8.4.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3007648447/Zebra-ET51-21.3-8.4.jpg?ph=true&fmt=avif 2x",-
HP Desktop pc Desktop M01-F2042ns PC,£793.58,HP,-,-,Tower,"https://www.pricerunner.com/product/40x40/3009264473/HP-Desktop-pc-Desktop-M01-F2042ns-PC.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3009264473/HP-Desktop-pc-Desktop-M01-F2042ns-PC.jpg?ph=true&fmt=avif 2x",-
HP EliteDesk 800 G6 125M5ET,£817.99,HP,8 GB,Intel Core i7,Compact,-,-
HP Desktop PC M01-F2045ns Core i7-12700,£858.22,HP,16 GB,Intel Core i7,-,-,-
HP 6b2v3ea#abu Pro 400 G9 I7-12700t Mini,£888.49,HP,16 GB,-,-,-,2.70 %
Zotac ZBOX MAGNUS (ZBOX-ECM74060C-BE),£893.07,Zotac,-,-,Barebone,-,-
Asrock NUC BOX-1260P/EU/AI i7-1260P 2x 2.5,£900.70,Asrock,16 GB,-,-,-,0.17 %
Intel Sff Nuc12,£910.99,Intel,-,-,Barebone,-,-
Fujitsu Vfy:p612ep17bmgb P6012 I7 12700 16gb,£931.76,Fujitsu,16 GB,Intel Core i7,-,-,-
-,£933.19,MSI,16 GB,-,Compact,-,-
HPE ProLiant DL20 Gen10 Plus Entry,£935.82,HPE,-,-,-,-,0.59 %
Kindermann Klick & Show K-42UC - Kit Presentation Server,£949.99,Kindermann,-,-,-,-,-
Lenovo IdeaCentre 5 IntelÃÂ® CoreÃ¢âÂ¢ i5,£973.68,Lenovo,-,-,-,-,-
ASUS Vivo AiO V241 23.8,"£1,059.58",ASUS,-,-,All-in-one,-,-
Lenovo ThinkCentre M70q i7-12700T mini PC IntelÂ Core,"£1,084.33",Lenovo,16 GB,Intel Core i7,Compact,-,-
Dell OptiPlex 7090 NGD8R,"£1,132.11",Dell,16 GB,Intel Core i7,Tower,-,-
Fujitsu Primergy TX1320M5 VFY:T1325SC031IN,"£1,154.48",Fujitsu,16 GB,Intel Xeon E,Tower,-,1.30 %
HP ProLiant ML30 Gen10 Plus,"£1,166.33",HP,16 GB,Intel Xeon E,Tower,-,-
Dell Precision 3450 (X9FXV),"£1,246.04",Dell,16 GB,Intel Core i7,Compact,"https://www.pricerunner.com/product/40x40/3003991659/Dell-Precision-3450-%28X9FXV%29.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3003991659/Dell-Precision-3450-%28X9FXV%29.jpg?ph=true&fmt=avif 2x",-
Lenovo P3 Mini PC Core i9 i9-13900T,"£1,261.99",Lenovo,-,-,Compact,"https://www.pricerunner.com/product/40x40/3013567651/Lenovo-P3-Mini-PC-Core-i9-i9-13900T.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3013567651/Lenovo-P3-Mini-PC-Core-i9-i9-13900T.jpg?ph=true&fmt=avif 2x",0.98 %
Viewsonic VPC25-W33-P1 Digital Signage,"£1,267.71",Viewsonic,8 GB,Intel Core i5,-,-,-
HP Z2 Mini G5 Workstation 12M16EA,"£1,271.99",HP,16 GB,Intel Core i7,Compact,-,-
-,"£1,315.31",MSI,16 GB,Intel Core i7,-,-,-
HP Workstation Z2 G9 Tower 5F186EA#ABU Core 32GB 1TB,"£1,326.99",HP,32 GB,Intel Core i9,Tower,-,-
Fujitsu Primergy TX2550 M5 (VFY:T2555SC020IN),"£1,333.59",Fujitsu,16 GB,Intel Xeon Silver,Tower,-,-
-,"£1,399.99",Zotac,32 GB,-,Barebone,-,-
HP Z2 G5 Workstation 259H7EA,"£1,409.69",HP,16 GB,Intel Core i7,Tower,-,-
Zotac ZBOX MAGNUS ONE 8L barebone DDR5-SDRAM,"£1,439.99",Zotac,32 GB,-,Barebone,-,4.00 %
HP Z2 G9 Twr I712700K,"£1,520.64",HP,32 GB,Intel Core i9,Tower,-,-
HP ProLiant ML350 P21786-421,"£1,574.97",HP,16 GB,-,Tower,-,0.32 %
Lenovo st550 xeon slvr 4210r 10c 2.4ghz 13.75m 7x10a0ekea,"£1,601.99",Lenovo,-,-,-,-,-
Fujitsu PRIMERGY TX1330 M5 Server envejs,"£1,715.35",Fujitsu,-,-,-,-,-
Dell Precision 3581 i7-13800H Mobile,"£1,739.08",Dell,-,-,Tower,-,-
Dell EMC PowerEdge T350 (VNXJC),"£1,796.96",Dell,16 GB,Intel Xeon E,Tower,-,-
-,"£1,799.00",Stormforce,-,Intel Core i7,Tower,-,-
ASUS W5600Q2AL2142X - WS 16 R7-5800H 16GB 512GB A2000,"£1,799.99",ASUS,16 GB,AMD Ryzen 7,Tower,-,-
-,"£1,804.28",ASUS,16 GB,-,Tower,-,-
HP Z2 Mini G5 Workstation 523W1EA,"£1,844.02",HP,16 GB,Intel Core i7,Compact,"https://www.pricerunner.com/product/40x40/3003665033/HP-Z2-Mini-G5-Workstation-523W1EA.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3003665033/HP-Z2-Mini-G5-Workstation-523W1EA.jpg?ph=true&fmt=avif 2x",-
Dell PowerEdge T350 tower Xeon E-2336,"£1,859.49",Dell,16 GB,-,Tower,-,-
MSI MPG Trident AS 10TD-1404EU DDR4-SDRAM i7-10700,"£1,975.77",MSI,-,Intel Core i7,-,-,-
HP Z1 G6 Entry 12M33EA,"£1,998.88",HP,16 GB,Intel Core i7,Tower,-,-
Lenovo ThinkStation P3 Ultra 30HA000GUK Core i7-13700 32GB 1TB,"£2,240.00",Lenovo,32 GB,Intel Core i9,-,-,-
Dell EMC PowerEdge T440 5U Tower Server,"£2,293.84",Dell,-,-,Tower,-,-
ASUS ROG Strix GT15 G15CF-1270KF192W i7-12700KF Tower,"£2,351.43",ASUS,-,-,Tower,-,-
Lenovo ThinkSystem SR630 V2 7Z71A050EA 1U Rack Server,"£2,410.92",Lenovo,-,-,-,-,5.73 %
Fujitsu Vfy:r2545sc010in Primergy Rx2540 M5 Server 12,"£2,536.99",Fujitsu,-,-,Tower,-,-
Dell 5j5d0 Poweredge R6515 Server 2.8,"£2,668.91",Dell,8 GB,-,-,-,-
HPE Hewlett Packard Enterprise ProLiant DL380 Gen10 server,"£2,804.97",HPE,8 GB,-,-,-,-
Dell EMC PowerEdge R450 Server rack-mountable,"£2,929.06",Dell,-,-,-,-,-
Dell EMC PowerEdge R7515 2U Rack Server,"£2,961.91",Dell,16 GB,-,-,-,-
HP ProLiant DL360 G10 1U Rack Server,"£3,017.71",HP,-,-,-,-,-
Dell PowerEdge T550,"£4,512.96",Dell,-,-,-,-,-
Intel NUC NUC7CJYHN (Black),£98.76,Intel,-,Intel Celeron,Barebone,-,-
Intel NUC Kit NUC7PJYHN,£122.67,Intel,-,Intel Pentium Silver,Barebone,-,-
MSI Cubi 5 10M Core,£238.19,MSI,-,-,Compact,"https://www.pricerunner.com/product/40x40/3010516837/MSI-Cubi-5-10M-Core.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3010516837/MSI-Cubi-5-10M-Core.jpg?ph=true&fmt=avif 2x",-
HP Chromebox G3 34D72EA,£263.99,HP,4 GB,Intel Celeron,Compact,"https://www.pricerunner.com/product/40x40/3004005196/HP-Chromebox-G3-34D72EA.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3004005196/HP-Chromebox-G3-34D72EA.jpg?ph=true&fmt=avif 2x",-
-,£316.75,-,8 GB,-,Compact,-,-
Lenovo 90sm0077uk Ideacentre 3 I3-12100,£329.00,Lenovo,8 GB,-,-,-,26.73 %
ASUS ExpertCenter PN64-BB3012MD,£401.03,ASUS,-,Intel Core i3,Barebone,-,4.13 %
Lenovo IdeaCentre AIO 3 22ADA6F0G60006UK,£404.39,Lenovo,4 GB,AMD Athlon Silver,All-in-one,-,-
Lenovo IdeaCentre 3 07ADA05 (90MV000XUK),£431.21,Lenovo,8 GB,AMD Ryzen 3,Tower,-,-
Intel NUC 11 Enthusiast RNUC11PHKI7C002,£451.95,Intel,-,Intel Core i7,Barebone,-,-
Acer Aspire C22-420 (DQ.BG3EK.002),£461.24,Acer,8 GB,AMD Athlon Silver,All-in-one,-,-
Lenovo Ideacentre 510S (90LX0040UK),£476.90,Lenovo,8 GB,Intel Core i3,Tower,-,-
ASUS Vivo AiO V222FAK-BA124W,£483.51,ASUS,8 GB,Intel Pentium Gold,All-in-one,-,-
Acer Aspire C22-820 (DQ.BDZEK.006),£484.12,Acer,8 GB,Intel Pentium Silver,All-in-one,-,-
Intel NUC 11 Pro Kit NUC11TNKi70Z,£524.49,Intel,-,Intel Core i7,Barebone,-,-
ASUS Vivo AiO V222FAK-BA114W,£531.75,ASUS,8 GB,Intel Core i3,All-in-one,-,-
HP ProDesk 405 G6 (47M40EAA/BU),£542.99,HP,8 GB,AMD Ryzen 5 Pro,Compact,-,-
Acer Veriton X2680G (DT.VV1EK.001),£542.99,Acer,8 GB,Intel Core i3,Tower,-,-
Lenovo IdeaCentre 510 (90LU006MUK),£546.07,Lenovo,8 GB,Intel Core i5,Tower,-,-
Acer Aspire TC-1660 (DT.BGVEK.004),£547.19,Acer,8 GB,Intel Core i5,Tower,-,-
Lenovo IdeaCentre AIO 3 24ADA6 F0FX000JUK,£564.99,Lenovo,8 GB,AMD Ryzen 5,All-in-one,"https://www.pricerunner.com/product/40x40/3003630796/Lenovo-IdeaCentre-AIO-3-24ADA6-F0FX000JUK.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3003630796/Lenovo-IdeaCentre-AIO-3-24ADA6-F0FX000JUK.jpg?ph=true&fmt=avif 2x",-
Acer CXI4 Chromebox (DT.Z1SEK.001),£572.05,Acer,8 GB,Intel Core i5,Compact,"https://www.pricerunner.com/product/40x40/3002604018/Acer-CXI4-Chromebox-%28DT.Z1SEK.001%29.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3002604018/Acer-CXI4-Chromebox-%28DT.Z1SEK.001%29.jpg?ph=true&fmt=avif 2x",-
Dell OptiPlex 3080 (85PCF),£586.52,Dell,8 GB,Intel Core i5,Compact,-,-
Shuttle XPC slim XH410G,£602.47,Shuttle,-,-,Barebone,-,-
Lenovo ThinkEdge SE30 (11NA0005UK),£628.99,Lenovo,8 GB,Intel Core i3,Compact,-,-
Lenovo ThinkCentre M80S 11CU0000UK,£681.99,Lenovo,8 GB,Intel Core i5,Tower,-,-
Intel Intel Next Unit of Computing 13 Pro Mini PC NUC13ANKi50WC,£683.81,Intel,-,-,Compact,-,-
Acer Aspire C24-1650 (DQ.BFSEK.008),£703.99,Acer,8 GB,Intel Core i5,All-in-one,-,-
Dell OptiPlex 3280 (70NM8),£719.38,Dell,8 GB,Intel Core i3,All-in-one,-,-
HP Omen 30L GT13-1044na,£746.99,HP,16 GB,AMD Ryzen 7,Tower,-,10.00 %
ASUS Zen Aio M5401WUAK-BA116T,£756.03,ASUS,8 GB,AMD Ryzen 3,All-in-one,-,-
Lenovo IdeaCentre AIO 3 27IMB05 F0EY006DUK,£782.95,Lenovo,8 GB,Intel Core i5,All-in-one,-,-
-,-,-,-,-,-,-,-
-,​,​,​,​,​,-,​
-,​,​,​,​,​,-,​
-,​,​,​,​,​,-,​
-,​,​,​,​,​,-,​
Acer CT700-71A (DT.C04EK.003),"£1,012.01",Acer,32 GB,Intel Xeon,Tower,-,-
Dell OptiPlex 7090 (H4N4J),"£1,065.86",Dell,16 GB,Intel Core i7,Tower,-,-
Lenovo ThinkCentre M90q 11CR004XUK,"£1,086.88",Lenovo,16 GB,Intel Core i7,Compact,-,-
Lenovo ThinkSystem ST250 (7Y46A04JEA),"£1,099.00",Lenovo,16 GB,Intel Xeon E,Tower,-,-
Zotac Zbox Magnus One ECM53060C,"£1,106.65",Zotac,-,Intel Core i5,Barebone,-,-
Dell OptiPlex 7490 (8V12C),"£1,146.16",Dell,8 GB,Intel Core i5,All-in-one,-,-
Lenovo Legion T5 90RS000GUK,"£1,161.99",Lenovo,16 GB,Intel Core i5,Tower,-,-
Dell Precision 3650 (H4D1J),"£1,226.29",Dell,16 GB,Intel Core i7,Tower,-,-
Dell Precision 3240 (JW9KX),"£1,299.02",Dell,16 GB,Intel Core i7,Tower,-,-
Dell 3650 (J4T5P),"£1,305.82",Dell,16 GB,Intel Core i7,Tower,-,-
Dell Precision 3650 (PPJ9R),"£1,327.51",Dell,16 GB,Intel Core i7,Tower,-,-
Dell Precision 3650 (X2JJF),"£1,328.83",Dell,16 GB,Intel Core i9,Tower,-,-
Lenovo Legion T5 26AMR5 90RC00EQUK,"£1,370.40",Lenovo,16 GB,AMD Ryzen 7,Tower,-,-
Dell Precision 3450 (Y0Y54),"£1,451.68",Dell,16 GB,Intel Core i7,Tower,-,-
Dell Precision 3650 (97WPK),"£1,472.34",Dell,32 GB,Intel Core i7,Tower,-,-
Lenovo Legion T5 26AMR5 90RC00AXUK,"£1,475.36",Lenovo,16 GB,AMD Ryzen 7,Tower,-,-
HP eliteone 840 g9,"£1,622.79",HP,-,Intel Core i5,All-in-one,-,-
Dell Precision 3650 (9CVKM),"£1,791.49",Dell,16 GB,Intel Core i7,Tower,-,-
Dell Precision 3650 (XFDNR),"£1,851.47",Dell,16 GB,Intel Core i7,Tower,-,-
HP Z2 G5 Workstation 259K7EA,"£1,876.99",HP,32 GB,Intel Core i7,Tower,"https://www.pricerunner.com/product/40x40/3002591312/HP-Z2-G5-Workstation-259K7EA.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3002591312/HP-Z2-G5-Workstation-259K7EA.jpg?ph=true&fmt=avif 2x",-
Dell Precision 3650 (9HT14),"£1,892.56",Dell,32 GB,Intel Core i7,Tower,"https://www.pricerunner.com/product/40x40/3002721311/Dell-Precision-3650-%289HT14%29.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3002721311/Dell-Precision-3650-%289HT14%29.jpg?ph=true&fmt=avif 2x",-
Dell Precision 3240 (7CGH6),"£1,892.58",Dell,16 GB,Intel Core i7,Tower,-,-
Acer CT500-51A (DT.C03EK.00L),"£1,894.15",Acer,16 GB,Intel Core i7,Tower,-,-
Dell Precision 3650 (NXW3V),"£1,929.62",Dell,16 GB,Intel Core i9,Tower,-,-
Fujitsu PRIMERGY RX2520 M5 2U Rack-mountable Server,"£2,151.99",Fujitsu,-,-,Tower,-,-
Dell PowerEdge R350 rack-mountable Xeon E-2336,"£2,297.12",Dell,16 GB,-,-,-,-
HPE Hewlett Packard Enterprise ProLiant DL380 Gen10 server,"£2,392.97",HPE,-,-,-,-,-
Lenovo ThinkStation P920 30BC005NUS,"£4,425.77",Lenovo,32 GB,Intel Xeon Silver,Tower,-,-
Lenovo ThinkSystem SR630 V2 7Z71A05GEA 1U Rack Server,"£5,667.84",Lenovo,32 GB,-,-,-,-
"Apple iMac Core i9 512GB 27""","£1,452.46",Apple,-,Intel Core i9,All-in-one,-,-
-,"£3,675.19",MSI,32 GB,Intel Core i7,Tower,-,-
HP EliteDesk 800 G1 SFF,£109.99,HP,8 GB,-,-,-,-
Acer Aspire TC-1760 (DT.BHUEK.00H),£549.97,Acer,8 GB,Intel Core i7,Tower,-,15.38 %
HP T1A Compaq Elite 8300 Refurbished,£59.99,HP,-,-,-,-,-
Dell OptiPlex 3050 (YWJFV),£108.00,Dell,4 GB,Intel Core i3,Compact,-,-
-,£159.00,HP,8 GB,Intel Core i5,Tower,-,-
Dell OptiPlex 7050 (0YXR5),£170.00,Dell,8 GB,Intel Core i5,Compact,-,-
Dell OptiPlex 3060 (5K4RG),£194.00,Dell,4 GB,Intel Core i3,Tower,"https://www.pricerunner.com/product/40x40/1842730060/Dell-OptiPlex-3060-%285K4RG%29.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/1842730060/Dell-OptiPlex-3060-%285K4RG%29.jpg?ph=true&fmt=avif 2x",-
T1A HP EliteDesk 800 G2 Refurbished i5-6500 mini,£316.79,-,-,-,-,"https://www.pricerunner.com/product/40x40/3011673266/T1A-HP-EliteDesk-800-G2-Refurbished-i5-6500-mini.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3011673266/T1A-HP-EliteDesk-800-G2-Refurbished-i5-6500-mini.jpg?ph=true&fmt=avif 2x",-
HP 24-cb0020na 23.8 All-in-One IntelÂ®,£379.99,HP,-,-,All-in-one,-,-
-,£379.99,HP,8 GB,-,All-in-one,-,-
Vibox Nemesis 14 (B00YHG1QDS),£469.95,Vibox,-,-,-,-,-
Lenovo IdeaCentre 3i F0FQ0011UK,£489.98,Lenovo,4 GB,Intel Core i3,All-in-one,-,-
"Stormforce Onyx Amd Ryzen 5 4600G, 8Gb",£499.99,Stormforce,-,-,-,-,-
"ASUS Vivo AiO 21.5"" All In One 256GB",£507.31,ASUS,-,-,All-in-one,-,-
HP 27-cb0019na,£599.99,HP,8 GB,AMD Ryzen 7,All-in-one,-,-
-,£644.74,Hewlett Packard,16 GB,-,-,-,-
-,£679.00,Medion,-,Intel Core i5,-,-,-
Lenovo IdeaCentre AIO 3 24ALC6,£758.14,Lenovo,-,AMD Ryzen 5,All-in-one,-,-
MSI Nightblade MIB 7RB-249EU,£851.07,MSI,8 GB,Intel Core i5,Tower,-,5.44 %
Acer Aspire XC-1760 (DT.BHWEG.013),£875.33,Acer,16 GB,Intel Core i7,Compact,-,-
-,£899.00,Lenovo,16 GB,AMD Ryzen 5,Tower,-,-
"Apple iMac 2017 Core i5 2.3GHz 8GB 256GB Intel Iris Plus 640 21.5""",£915.83,Apple,8 GB,Intel Core i5,All-in-one,-,-
Dell Alienware Aurora R10 Ryzen Edition,"£1,049.00",Dell,-,-,Tower,-,-
HP ProOne 440 G6 AIO,"£1,069.54",HP,16 GB,-,All-in-one,-,-
Intel NUC12DCMi9,"£1,138.80",Intel,-,Intel Core i9,Barebone,"https://www.pricerunner.com/product/40x40/3004630531/Intel-NUC12DCMi9.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3004630531/Intel-NUC12DCMi9.jpg?ph=true&fmt=avif 2x",-
-,"£1,188.48",ASUS,8 GB,Intel Core i5,Tower,-,-
-,"£1,199.00",Medion,-,-,-,-,-
Acer Predator Orion 3000 PO3-630 (DG.E2CEQ.005),"£1,443.22",Acer,16 GB,Intel Core i7,Tower,-,-
-,"£1,499.00",Apple,8 GB,-,All-in-one,-,-
Acer Predator Orion 3000 PO3-640 (DG.E2WEK.002),"£1,569.03",Acer,16 GB,Intel Core i7,Tower,-,-
HPE ProLiant DL160 G10 1U Rack Server,"£1,742.45",HPE,8 GB,Intel Core i5,Tower,-,-
HP Omen 30L Gt13-1047Na,"£1,999.99",HP,16 GB,AMD Ryzen 7,Tower,-,-
HPE ProLiant ML350 Gen10 Base Server,"£2,189.66",HPE,16 GB,-,-,-,0.05 %
Lenovo Legion T7 90Q9007SUK,"£2,206.99",Lenovo,16 GB,Intel Core i7,Tower,-,-
Lenovo Legion T7 90Q9007TUK,"£2,206.99",Lenovo,32 GB,Intel Core i7,Tower,-,-
-,"£2,502.70",Captiva,32 GB,-,Tower,-,-
MSI AERS12TE295 Aegis RS 12TE 295US-Tower-Core,"£3,406.19",MSI,16 GB,-,Tower,-,-
HP OMEN 45L GT22-1019na 7700X,"£3,435.84",HP,-,-,Tower,-,-
-,"£3,979.37",Captiva,16 GB,-,-,-,-
-,"£4,299.00",MSI,-,-,-,-,-
-,"£4,314.57",PcCom,-,-,-,-,0.48 %
Dell Precision 5820 (7DN4F),"£4,402.17",Dell,32 GB,Intel Xeon W,Tower,-,-
Gigabyte BRIX GB-BMCE-5105 (rev. 1.0),£155.77,Gigabyte,-,Intel Celeron,Compact,"https://www.pricerunner.com/product/40x40/3003981708/Gigabyte-BRIX-GB-BMCE-5105-%28rev.-1.0%29.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3003981708/Gigabyte-BRIX-GB-BMCE-5105-%28rev.-1.0%29.jpg?ph=true&fmt=avif 2x",-
HP ProDesk 400 G7 294G9EA,£554.99,HP,8 GB,Intel Core i5,Tower,"https://www.pricerunner.com/product/40x40/3002381875/HP-ProDesk-400-G7-294G9EA.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3002381875/HP-ProDesk-400-G7-294G9EA.jpg?ph=true&fmt=avif 2x",-
Lenovo ThinkCentre M70t 11EV000EUK,£625.12,Lenovo,8 GB,Intel Core i5,Tower,-,-
Lenovo V50s 11EF0016UK,£704.43,Lenovo,16 GB,Intel Core i5,Tower,-,-
HP Z1 G9 TWR 5F1A9EA,"£1,491.99",HP,-,Intel Core i7,Tower,-,-
Lenovo T1A ThinkCentre M715q 2.8 PRO PRO,£220.99,Lenovo,8 GB,Intel Core i3,-,-,-
Zotac C Series CI331 (ZBOX-CI331NANO-BE),£250.22,Zotac,-,Intel Celeron,Barebone,-,0.28 %
Intel NUC 11 Performance kit – NUC11PAHi50Z,£300.24,Intel,-,Intel Core i5,Barebone,-,-
Intel Rnuc12wski30000 Pc/workstation Barebone,£302.99,Intel,-,-,Barebone,-,-
ASUS Chromebox 4-GC029UN,£339.99,ASUS,8 GB,Intel Celeron,Compact,-,-
HP 11-Be0000Na Tablet Pc,£379.99,HP,-,-,-,-,-
Asrock 90pxg8v0-p0eay100 4x4 Box-5300u Amd Ryzen 5000,£384.99,Asrock,-,-,-,-,-
MSI PRO AP222T 13M-031DE Pentium G7400/4GB/12GB SSD,£397.53,MSI,-,-,All-in-one,-,33.48 %
Acer Veriton S2680G (DT.VV2EK.005),£487.99,Acer,8 GB,Intel Core i5,Tower,-,-
HP 295 G6 294R4EA,£493.00,HP,8 GB,AMD Ryzen 5 Pro,Tower,-,-
Lenovo ThinkCentre M75s Gen 2 11R8000DUK,£503.99,Lenovo,8 GB,AMD Ryzen 5 Pro,Compact,-,-
Lenovo V50s-07IMB 11EF001BUK,£535.22,Lenovo,4 GB,Intel Core i5,Tower,-,-
Intel NUC 11 Performance NUC11PAHi7,£556.20,Intel,-,Intel Core i7,Barebone,-,-
Dell OptiPlex 3070 (JX26T),£585.13,Dell,8 GB,Intel Core i5,-,"https://www.pricerunner.com/product/40x40/3000226854/Dell-OptiPlex-3070-%28JX26T%29.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3000226854/Dell-OptiPlex-3070-%28JX26T%29.jpg?ph=true&fmt=avif 2x",-
Lenovo V50s (11EF0015UK),£600.55,Lenovo,8 GB,Intel Core i5,Tower,"https://www.pricerunner.com/product/40x40/3001624701/Lenovo-V50s-%2811EF0015UK%29.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3001624701/Lenovo-V50s-%2811EF0015UK%29.jpg?ph=true&fmt=avif 2x",-
Lenovo V35s 07ADA 11HF0052UK,£605.07,Lenovo,8 GB,AMD Ryzen 5,Compact,-,-
HP ProDesk 600 G6 1D2E5EA,£606.99,HP,8 GB,Intel Core i5,Compact,-,-
-,-,-,-,-,-,-,-
-,​,​,​,​,​,-,​
-,​,​,​,​,​,-,​
-,​,​,​,​,​,-,​
-,£679.99,ASUS,-,Intel Core i5,All-in-one,-,-
HP Elite 800 G9 5M979EA,£689.17,HP,16 GB,Intel Core i5,Compact,-,8.25 %
MSI Modern AM272P 12M-018DE,£696.74,MSI,8 GB,Intel Core i5,All-in-one,-,18.09 %
HP Victus TG02-0019na i5 16GB 1TB RTX3060,£699.99,HP,-,-,Tower,-,-
-,£703.24,HP,16 GB,-,Tower,-,-
Acer Veriton N4 VN4690GT (DT.VW7EG.009),£727.16,Acer,8 GB,Intel Core i3,Compact,-,-
MSI Modern AM242P 12M-070DE 23.8FHD i71260P,£794.20,MSI,-,-,-,-,28.26 %
HP ProOne 440 G6 1C6Y1EA,£796.99,HP,8 GB,Intel Core i5,All-in-one,-,-
MSI Pro DP21 12M-456DE i3-12100,£801.67,MSI,8 GB,-,Compact,-,-
HP EliteDesk 800 G6 4M3N0EA,£869.99,HP,16 GB,Intel Core i7,Compact,-,-
Lenovo ThinkStation P350 30EF000BUK,£893.99,Lenovo,16 GB,Intel Core i5,Compact,-,-
HP Workstation Z2 G9,£996.99,HP,16 GB,Intel Core i7,-,-,11.35 %
HP Pro Mini 400 G9 (6B240EA),"£1,143.17",HP,8 GB,Intel Core i5,Compact,-,-
Lenovo ThinkStation P350 30EF000HUK,"£1,262.99",Lenovo,16 GB,Intel Core i9,Compact,-,-
HP Z2 G9 SFF 5F0X9EA Core i7-13700,"£1,267.20",HP,16 GB,-,Tower,-,-
-,"£1,288.90",Gigabyte,8 GB,-,-,-,-
HP EliteDesk 800 G6 1D2N3EA,"£1,324.62",HP,16 GB,Intel Core i7,Compact,-,-
Intel Next Unit of Computing 13 Extreme Kit,"£1,329.98",Intel,-,-,Barebone,-,-
Zebra Et56be-w12e Et56 4g,"£1,413.05",Zebra,4 GB,Intel Celeron,-,-,-
HP ProOne 440 G9 6B244EA,"£1,440.15",HP,8 GB,Intel Core i5,All-in-one,-,-
HP ProOne 440 G9 6B245EA,"£1,484.48",HP,16 GB,Intel Core i5,All-in-one,-,-
-,"£1,667.76",Acer,8 GB,Intel Core i5,All-in-one,-,1.54 %
HP Z2 G9 TWR,"£1,762.56",HP,32 GB,-,Tower,-,4.06 %
Dell OptiPlex 7010 Plus SFF,"£1,806.82",Dell,16 GB,Intel Core i7,Compact,-,1.54 %
Dell OptiPlex 7010 Plus MFF i5-13500T Pro,"£1,832.50",Dell,16 GB,Intel Core i5,Compact,-,1.65 %
Dell Precision 3000 (DWTN5),"£2,015.91",Dell,32 GB,Intel Core i9,Tower,-,-
Dell Precision T5820 (C7N6G),"£2,191.30",Dell,32 GB,Intel Xeon W,Tower,-,-
HP ProLiant DL360 G10 Plus 1U Rack Server,"£3,116.95",HP,-,Intel Core i5,Tower,-,-
Packard Enterprise P55281-421 Proliant Dl380 G10+ Server Rack 2u,"£3,427.48",-,-,-,Tower,"https://www.pricerunner.com/product/40x40/3007320367/Packard-Enterprise-P55281-421-Proliant-Dl380-G10-Server-Rack-2u.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3007320367/Packard-Enterprise-P55281-421-Proliant-Dl380-G10-Server-Rack-2u.jpg?ph=true&fmt=avif 2x",-
Microsoft Surface Studio 2+ for Business 11th Gen,"£4,446.36",Microsoft,-,-,-,"https://www.pricerunner.com/product/40x40/3008071137/Microsoft-Surface-Studio-2-for-Business-11th-Gen.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3008071137/Microsoft-Surface-Studio-2-for-Business-11th-Gen.jpg?ph=true&fmt=avif 2x",-
HP E ProLiant ML110 Gen11,"£4,451.39",HP,-,-,-,-,0.12 %
Gigabyte BRIX GB-BMCE-4500C (rev. 1.0),£199.93,Gigabyte,-,Intel Celeron,Compact,-,-
Acer Chromebox CXI4 (DT.Z1MEG.003),£255.66,Acer,4 GB,Intel Celeron,Compact,-,-
Lenovo IdeaCentre 3-07 90MV006WUK,£319.65,Lenovo,4 GB,AMD Athlon Silver,Tower,-,-
HP Slim S01-aF1004na,£430.56,HP,8 GB,Intel Pentium,Tower,-,-
Dell OptiPlex 3080 0XTRJ,£538.11,Dell,8 GB,Intel Core i3,Tower,-,-
HP 22-dd1001na,£549.99,HP,4 GB,Intel Core i3,All-in-one,-,-
"Lenovo IdeaCentre AIO 3 24ARE05 (F0EW0055UK) LED23.8""",£561.06,Lenovo,8 GB,AMD Ryzen 5,All-in-one,-,-
